Observation,TextUrn,Image,Comments
urn:cite:op:280v.15,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@χ,"urn:cite:hmt:vaimg.VA280VN-0782@0.6584,0.228,0.0146,0.0121",
urn:cite:op:280v.16,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ο[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.6717,0.228,0.0059,0.0065",
urn:cite:op:280v.17,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@σ,"urn:cite:hmt:vaimg.VA280VN-0782@0.6783,0.2278,0.0128,0.0073",
urn:cite:op:280v.18,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@αγ,"urn:cite:hmt:vaimg.VA280VN-0782@0.6911,0.2289,0.0153,0.013",αγ ligature
urn:cite:op:280v.19,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@α[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.7044,0.2299,0.013,0.0054",
urn:cite:op:280v.20,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@κ,"urn:cite:hmt:vaimg.VA280VN-0782@0.7162,0.2218,0.0107,0.0144,
urn:cite:op:280v.21,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@λ,"urn:cite:hmt:vaimg.VA280VN-0782@0.7223,0.2264,0.0148,0.0155",
urn:cite:op:280v.22,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ει,"urn:cite:hmt:vaimg.VA280VN-0782@0.7359,0.2241,0.0133,0.0165",ει ligature
urn:cite:op:280v.23,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@τ[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.7463,0.2303,0.0128,0.0084",
urn:cite:op:280v.24,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ο[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.7573,0.2312,0.0066,0.0056",
urn:cite:op:280v.25,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ι[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.7655,0.2312,0.0074,0.0054",
urn:cite:op:280v.26,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@σ[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.7714,0.2301,0.0128,0.0065",
urn:cite:op:280v.27,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@π[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.7849,0.2316,0.0164,0.0069",
urn:cite:op:280v.28,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@υ[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.8003,0.2316,0.0084,0.0065",
urn:cite:op:280v.29,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@λ[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.8103,0.2297,0.0115,0.009",
urn:cite:op:280v.30,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@α[4],"urn:cite:hmt:vaimg.VA280VN-0782@0.8202,0.2312,0.0125,0.0056",
urn:cite:op:280v.31,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ω[2],"urn:cite:hmt:vaimg.VA280VN-0782@0.832,0.2318,0.0123,0.005",
urn:cite:op:280v.32,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ρ[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.8427,0.2312,0.0082,0.0104",
urn:cite:op:280v.33,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@ο[4],"urn:cite:hmt:vaimg.VA280VN-0782@0.8525,0.2324,0.0064,0.0056",
urn:cite:op:280v.34,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@υ[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.8614,0.2324,0.0079,0.0061",
urn:cite:op:280v.35,urn:cts:greekLit:tlg0012.tlg001.msA:21.530@σ[3],"urn:cite:hmt:vaimg.VA280VN-0782@0.8668,0.2318,0.0118,0.0073",
